Dacelo novaeguineae
Dromaius novaehollandiae
Malurus cyaneus
Cracticus tibicen
Falco peregrinus
Eudyptula minor
Menura novaehollandiae
Alisterus scapularis
Leipoa ocellata
Pelecanus conspicillatus
Podargus strigoides
Rhipidura leucophrys
Anthochaera carunculata
Manorina melanocephala
Tyto alba
Trichoglossus haematodus
Eolophus roseicapilla
Phylidonyris novaehollandiae
Callocephalon fimbriatum
Ninox novaeseelandiae
Corvus mellori
Cacatua galerita
Pandion haliaetus
Lophochroa leadbeateri
Casuarius casuarius
Cereopsis novaehollandiae
Grus rubicunda
Aquila audax
Lates calcarifer
Neoceratodus forsteri
Toxotes chatareus
Carcharodon carcharias
Chaetodon trifascialis
Cetorhinus maximus
Chaetodon speculum
Gymnothorax javanicus
Epinephelus polyphekadion
Dactyloptena orientalis
Dendrochirus zebra
Lethrinus nebulosus
Rhincodon typus
Pseudophryne corroboree
Rhinella marina
Limnodynastes dumerilii
Litoria raniformis
Litoria caerulea
Litoria chloris
Heleioporus australiacus
Philoria frosti
Limnodynastes interioris
Rheobatrachus silus
Myobatrachus gouldii
Notaden bennettii
Litoria platycephala
Phascolarctos cinereus
Arctocephalus pusillus
Macropus rufus
Dasyurus viverrinus
Macropus giganteus
Burramys parvus
Setonix brachyurus
Petrogale xanthopus
Phascogale calura
Wallabia bicolor
Pteropus alecto
Notomys fuscus
Petrogale penicillata
Megaptera novaeangliae
Dugong dugon
Dendrolagus lumholtzi
Lasiorhinus latifrons
Vombatus ursinus
Canis lupus
Tachyglossus aculeatus
Pseudocheirus peregrinus
Petauroides volans
Lasiorhinus krefftii
Petaurus breviceps
Ornithorhynchus anatinus
Sarcophilus harrisii
Chlamydosaurus kingii
Moloch horridus
Tiliqua nigrolutea
Christinus marmoratus
Diplodactylus conspicillatus
Egernia whitii
Crocodylus johnsoni
Crocodylus porosus
Chelodina longicollis
Emydura macquarii
Caretta caretta
Eretmochelys imbricata
Antaresia childreni
Morelia bredli
Dendrelaphis punctulatus
Pseudonaja textilis
Agkistrodon contortrix
Oxyuranus microlepidotus
Pseudechis porphyriacus
Pseudechis australis
Simoselaps australis
Tiliqua rugosa
Notechis scutatus
Latrodectus hasseltii
Atrax robustus
Missulena occatoria
Ornithoptera priamus
Pieris rapae
Heteronympha merope
Eupoecila australasiae
Chrysolopus spectabilis
Coccinella transversalis
Dryococelus australis
Eurycnema goliath
Macropanesthia rhinoceros
Oecophylla smaragdina
Xylocopa aruana
Polistes humilis
Psaltoda moerens
Cyclochila australasiae
Hapalochlaena maculosa
Nephila plumipes
Lampona cylindrata
Agrotis infusa
Chironex fleckeri
Carukia barnesi
Physalia physalis
Delena cancerides
Acacia pycnantha
Eucalyptus camaldulensis
Nothofagus moorei
Eucalyptus rossii
Banksia ericifolia
Telopea speciosissima
Callistemon citrinus
Anigozanthos manglesii
Grevillea candelabroides
Grevillea banksii
Hardenbergia violacea
Chamelaucium uncinatum
Lomandra longifolia
Eucalyptus caesia
Pterostylis nutans
Syzygium oleosum
Isopogon dawsonii
Actinotus helianthi
Eucalyptus regnans
Casuarina glauca
Allocasuarina littoralis
Eucalyptus pauciflora
Hakea 
Dotonea Viscosa
Pseudocolus fusiformis
Phlebopus marginatus
Coprinus comatus
Dicksonia antarctica
Cyathea australis
Adiantum hispidulum
Platycerium bifurcatum
Nephrolepis cordifolia
Asplenium australasicum
